harvester,target_voltage_mv,level_dbm,efficiency
sSUHFIPTIVA0,1000.0,-30.0,0.24
sSUHFIPTIVA0,1000.0,-29.5,0.23
sSUHFIPTIVA0,1000.0,-29.0,0.23
sSUHFIPTIVA0,1000.0,-28.5,0.24
sSUHFIPTIVA0,1000.0,-28.0,0.27
sSUHFIPTIVA0,1000.0,-27.5,0.34
sSUHFIPTIVA0,1000.0,-27.0,0.27
sSUHFIPTIVA0,1000.0,-26.5,0.34
sSUHFIPTIVA0,1000.0,-26.0,0.49
sSUHFIPTIVA0,1000.0,-25.5,0.67
sSUHFIPTIVA0,1000.0,-25.0,0.96
sSUHFIPTIVA0,1000.0,-24.5,1.44
sSUHFIPTIVA0,1000.0,-24.0,2.07
sSUHFIPTIVA0,1000.0,-23.5,2.74
sSUHFIPTIVA0,1000.0,-23.0,3.72
sSUHFIPTIVA0,1000.0,-22.5,4.8
sSUHFIPTIVA0,1000.0,-22.0,6.05
sSUHFIPTIVA0,1000.0,-21.5,4.94
sSUHFIPTIVA0,1000.0,-21.0,6.27
sSUHFIPTIVA0,1000.0,-20.5,7.8
sSUHFIPTIVA0,1000.0,-20.0,9.28
sSUHFIPTIVA0,1000.0,-19.5,10.85
sSUHFIPTIVA0,1000.0,-19.0,13.47
sSUHFIPTIVA0,1000.0,-18.5,15.71
sSUHFIPTIVA0,1000.0,-18.0,17.93
sSUHFIPTIVA0,1000.0,-17.5,19.91
sSUHFIPTIVA0,1000.0,-17.0,21.59
sSUHFIPTIVA0,1000.0,-16.5,23.0
sSUHFIPTIVA0,1000.0,-16.0,24.15
sSUHFIPTIVA0,1000.0,-15.5,25.05
sSUHFIPTIVA0,1000.0,-15.0,25.97
sSUHFIPTIVA0,1000.0,-14.5,26.18
sSUHFIPTIVA0,1000.0,-14.0,27.02
sSUHFIPTIVA0,1000.0,-13.5,28.2
sSUHFIPTIVA0,1000.0,-13.0,28.26
sSUHFIPTIVA0,1000.0,-12.5,28.08
sSUHFIPTIVA0,1000.0,-12.0,27.9
sSUHFIPTIVA0,1000.0,-11.5,27.47
sSUHFIPTIVA0,1000.0,-11.0,27.07
sSUHFIPTIVA0,1000.0,-10.5,26.52
sSUHFIPTIVA0,1000.0,-10.0,25.91
sSUHFIPTIVA0,1000.0,-9.5,25.27
sSUHFIPTIVA0,1000.0,-9.0,24.48
sSUHFIPTIVA0,1000.0,-8.5,23.82
sSUHFIPTIVA0,1000.0,-8.0,22.97
sSUHFIPTIVA0,1000.0,-7.5,22.29
sSUHFIPTIVA0,1000.0,-7.0,21.44
sSUHFIPTIVA0,1000.0,-6.5,20.74
sSUHFIPTIVA0,1000.0,-6.0,19.88
sSUHFIPTIVA0,1000.0,-5.5,19.18
sSUHFIPTIVA0,1000.0,-5.0,18.15
sSUHFIPTIVA0,1000.0,-4.5,17.55
sSUHFIPTIVA0,1000.0,-4.0,16.8
sSUHFIPTIVA0,1000.0,-3.5,16.04
sSUHFIPTIVA0,1000.0,-3.0,15.26
sSUHFIPTIVA0,1000.0,-2.5,14.67
sSUHFIPTIVA0,1000.0,-2.0,13.76
sSUHFIPTIVA0,1000.0,-1.5,13.12
sSUHFIPTIVA0,1000.0,-1.0,12.44
sSUHFIPTIVA0,1000.0,-0.5,11.73
sSUHFIPTIVA0,1000.0,0.0,11.03
sSUHFIPTIVA0,1250.0,-30.0,0.25
sSUHFIPTIVA0,1250.0,-29.5,0.24
sSUHFIPTIVA0,1250.0,-29.0,0.23
sSUHFIPTIVA0,1250.0,-28.5,0.24
sSUHFIPTIVA0,1250.0,-28.0,0.27
sSUHFIPTIVA0,1250.0,-27.5,0.33
sSUHFIPTIVA0,1250.0,-27.0,0.27
sSUHFIPTIVA0,1250.0,-26.5,0.33
sSUHFIPTIVA0,1250.0,-26.0,0.46
sSUHFIPTIVA0,1250.0,-25.5,0.66
sSUHFIPTIVA0,1250.0,-25.0,0.95
sSUHFIPTIVA0,1250.0,-24.5,1.4
sSUHFIPTIVA0,1250.0,-24.0,2.03
sSUHFIPTIVA0,1250.0,-23.5,2.77
sSUHFIPTIVA0,1250.0,-23.0,3.71
sSUHFIPTIVA0,1250.0,-22.5,4.8
sSUHFIPTIVA0,1250.0,-22.0,6.05
sSUHFIPTIVA0,1250.0,-21.5,4.92
sSUHFIPTIVA0,1250.0,-21.0,6.27
sSUHFIPTIVA0,1250.0,-20.5,7.74
sSUHFIPTIVA0,1250.0,-20.0,9.21
sSUHFIPTIVA0,1250.0,-19.5,10.52
sSUHFIPTIVA0,1250.0,-19.0,11.67
sSUHFIPTIVA0,1250.0,-18.5,13.13
sSUHFIPTIVA0,1250.0,-18.0,15.99
sSUHFIPTIVA0,1250.0,-17.5,18.6
sSUHFIPTIVA0,1250.0,-17.0,20.89
sSUHFIPTIVA0,1250.0,-16.5,22.95
sSUHFIPTIVA0,1250.0,-16.0,24.76
sSUHFIPTIVA0,1250.0,-15.5,26.3
sSUHFIPTIVA0,1250.0,-15.0,27.51
sSUHFIPTIVA0,1250.0,-14.5,28.4
sSUHFIPTIVA0,1250.0,-14.0,29.1
sSUHFIPTIVA0,1250.0,-13.5,29.4
sSUHFIPTIVA0,1250.0,-13.0,29.52
sSUHFIPTIVA0,1250.0,-12.5,30.74
sSUHFIPTIVA0,1250.0,-12.0,31.31
sSUHFIPTIVA0,1250.0,-11.5,31.08
sSUHFIPTIVA0,1250.0,-11.0,30.72
sSUHFIPTIVA0,1250.0,-10.5,30.22
sSUHFIPTIVA0,1250.0,-10.0,29.66
sSUHFIPTIVA0,1250.0,-9.5,29.04
sSUHFIPTIVA0,1250.0,-9.0,28.37
sSUHFIPTIVA0,1250.0,-8.5,27.72
sSUHFIPTIVA0,1250.0,-8.0,26.86
sSUHFIPTIVA0,1250.0,-7.5,25.95
sSUHFIPTIVA0,1250.0,-7.0,25.23
sSUHFIPTIVA0,1250.0,-6.5,24.31
sSUHFIPTIVA0,1250.0,-6.0,23.51
sSUHFIPTIVA0,1250.0,-5.5,22.42
sSUHFIPTIVA0,1250.0,-5.0,21.64
sSUHFIPTIVA0,1250.0,-4.5,20.72
sSUHFIPTIVA0,1250.0,-4.0,19.94
sSUHFIPTIVA0,1250.0,-3.5,19.07
sSUHFIPTIVA0,1250.0,-3.0,18.38
sSUHFIPTIVA0,1250.0,-2.5,17.4
sSUHFIPTIVA0,1250.0,-2.0,16.59
sSUHFIPTIVA0,1250.0,-1.5,15.75
sSUHFIPTIVA0,1250.0,-1.0,14.88
sSUHFIPTIVA0,1250.0,-0.5,14.24
sSUHFIPTIVA0,1250.0,0.0,13.58
sSUHFIPTIVA0,1500.0,-30.0,0.3
sSUHFIPTIVA0,1500.0,-29.5,0.3
sSUHFIPTIVA0,1500.0,-29.0,0.31
sSUHFIPTIVA0,1500.0,-28.5,0.35
sSUHFIPTIVA0,1500.0,-28.0,0.41
sSUHFIPTIVA0,1500.0,-27.5,0.51
sSUHFIPTIVA0,1500.0,-27.0,0.42
sSUHFIPTIVA0,1500.0,-26.5,0.52
sSUHFIPTIVA0,1500.0,-26.0,0.67
sSUHFIPTIVA0,1500.0,-25.5,0.92
sSUHFIPTIVA0,1500.0,-25.0,1.28
sSUHFIPTIVA0,1500.0,-24.5,1.8
sSUHFIPTIVA0,1500.0,-24.0,2.47
sSUHFIPTIVA0,1500.0,-23.5,3.4
sSUHFIPTIVA0,1500.0,-23.0,4.32
sSUHFIPTIVA0,1500.0,-22.5,5.45
sSUHFIPTIVA0,1500.0,-22.0,6.62
sSUHFIPTIVA0,1500.0,-21.5,5.46
sSUHFIPTIVA0,1500.0,-21.0,7.03
sSUHFIPTIVA0,1500.0,-20.5,8.48
sSUHFIPTIVA0,1500.0,-20.0,9.86
sSUHFIPTIVA0,1500.0,-19.5,11.05
sSUHFIPTIVA0,1500.0,-19.0,12.2
sSUHFIPTIVA0,1500.0,-18.5,13.19
sSUHFIPTIVA0,1500.0,-18.0,13.87
sSUHFIPTIVA0,1500.0,-17.5,15.08
sSUHFIPTIVA0,1500.0,-17.0,18.08
sSUHFIPTIVA0,1500.0,-16.5,20.85
sSUHFIPTIVA0,1500.0,-16.0,23.3
sSUHFIPTIVA0,1500.0,-15.5,25.63
sSUHFIPTIVA0,1500.0,-15.0,27.39
sSUHFIPTIVA0,1500.0,-14.5,28.79
sSUHFIPTIVA0,1500.0,-14.0,29.8
sSUHFIPTIVA0,1500.0,-13.5,30.63
sSUHFIPTIVA0,1500.0,-13.0,31.22
sSUHFIPTIVA0,1500.0,-12.5,31.56
sSUHFIPTIVA0,1500.0,-12.0,31.82
sSUHFIPTIVA0,1500.0,-11.5,31.66
sSUHFIPTIVA0,1500.0,-11.0,32.86
sSUHFIPTIVA0,1500.0,-10.5,32.83
sSUHFIPTIVA0,1500.0,-10.0,32.43
sSUHFIPTIVA0,1500.0,-9.5,31.89
sSUHFIPTIVA0,1500.0,-9.0,31.24
sSUHFIPTIVA0,1500.0,-8.5,30.61
sSUHFIPTIVA0,1500.0,-8.0,29.87
sSUHFIPTIVA0,1500.0,-7.5,28.99
sSUHFIPTIVA0,1500.0,-7.0,28.15
sSUHFIPTIVA0,1500.0,-6.5,27.26
sSUHFIPTIVA0,1500.0,-6.0,26.33
sSUHFIPTIVA0,1500.0,-5.5,25.4
sSUHFIPTIVA0,1500.0,-5.0,24.51
sSUHFIPTIVA0,1500.0,-4.5,23.64
sSUHFIPTIVA0,1500.0,-4.0,22.68
sSUHFIPTIVA0,1500.0,-3.5,21.78
sSUHFIPTIVA0,1500.0,-3.0,20.83
sSUHFIPTIVA0,1500.0,-2.5,19.93
sSUHFIPTIVA0,1500.0,-2.0,18.85
sSUHFIPTIVA0,1500.0,-1.5,18.11
sSUHFIPTIVA0,1500.0,-1.0,17.33
sSUHFIPTIVA0,1500.0,-0.5,16.27
sSUHFIPTIVA0,1500.0,0.0,15.66
sSUHFIPTIVA0,1750.0,-30.0,0.27
sSUHFIPTIVA0,1750.0,-29.5,0.3
sSUHFIPTIVA0,1750.0,-29.0,0.31
sSUHFIPTIVA0,1750.0,-28.5,0.35
sSUHFIPTIVA0,1750.0,-28.0,0.42
sSUHFIPTIVA0,1750.0,-27.5,0.47
sSUHFIPTIVA0,1750.0,-27.0,0.39
sSUHFIPTIVA0,1750.0,-26.5,0.49
sSUHFIPTIVA0,1750.0,-26.0,0.45
sSUHFIPTIVA0,1750.0,-25.5,0.96
sSUHFIPTIVA0,1750.0,-25.0,1.22
sSUHFIPTIVA0,1750.0,-24.5,1.8
sSUHFIPTIVA0,1750.0,-24.0,2.47
sSUHFIPTIVA0,1750.0,-23.5,3.26
sSUHFIPTIVA0,1750.0,-23.0,4.31
sSUHFIPTIVA0,1750.0,-22.5,5.29
sSUHFIPTIVA0,1750.0,-22.0,6.62
sSUHFIPTIVA0,1750.0,-21.5,4.87
sSUHFIPTIVA0,1750.0,-21.0,6.92
sSUHFIPTIVA0,1750.0,-20.5,8.4
sSUHFIPTIVA0,1750.0,-20.0,9.82
sSUHFIPTIVA0,1750.0,-19.5,11.09
sSUHFIPTIVA0,1750.0,-19.0,12.08
sSUHFIPTIVA0,1750.0,-18.5,13.14
sSUHFIPTIVA0,1750.0,-18.0,13.78
sSUHFIPTIVA0,1750.0,-17.5,14.35
sSUHFIPTIVA0,1750.0,-17.0,14.64
sSUHFIPTIVA0,1750.0,-16.5,14.91
sSUHFIPTIVA0,1750.0,-16.0,18.14
sSUHFIPTIVA0,1750.0,-15.5,21.33
sSUHFIPTIVA0,1750.0,-15.0,23.75
sSUHFIPTIVA0,1750.0,-14.5,25.84
sSUHFIPTIVA0,1750.0,-14.0,27.73
sSUHFIPTIVA0,1750.0,-13.5,29.13
sSUHFIPTIVA0,1750.0,-13.0,30.33
sSUHFIPTIVA0,1750.0,-12.5,31.02
sSUHFIPTIVA0,1750.0,-12.0,31.86
sSUHFIPTIVA0,1750.0,-11.5,32.3
sSUHFIPTIVA0,1750.0,-11.0,32.39
sSUHFIPTIVA0,1750.0,-10.5,32.21
sSUHFIPTIVA0,1750.0,-10.0,33.4
sSUHFIPTIVA0,1750.0,-9.5,33.47
sSUHFIPTIVA0,1750.0,-9.0,33.04
sSUHFIPTIVA0,1750.0,-8.5,32.45
sSUHFIPTIVA0,1750.0,-8.0,31.87
sSUHFIPTIVA0,1750.0,-7.5,31.09
sSUHFIPTIVA0,1750.0,-7.0,30.36
sSUHFIPTIVA0,1750.0,-6.5,29.5
sSUHFIPTIVA0,1750.0,-6.0,28.7
sSUHFIPTIVA0,1750.0,-5.5,27.73
sSUHFIPTIVA0,1750.0,-5.0,26.85
sSUHFIPTIVA0,1750.0,-4.5,25.99
sSUHFIPTIVA0,1750.0,-4.0,24.96
sSUHFIPTIVA0,1750.0,-3.5,23.97
sSUHFIPTIVA0,1750.0,-3.0,23.01
sSUHFIPTIVA0,1750.0,-2.5,22.13
sSUHFIPTIVA0,1750.0,-2.0,21.19
sSUHFIPTIVA0,1750.0,-1.5,20.17
sSUHFIPTIVA0,1750.0,-1.0,19.29
sSUHFIPTIVA0,1750.0,-0.5,18.38
sSUHFIPTIVA0,1750.0,0.0,17.4
sSUHFIPTIVA0,2000.0,-30.0,0.31
sSUHFIPTIVA0,2000.0,-29.5,0.3
sSUHFIPTIVA0,2000.0,-29.0,0.31
sSUHFIPTIVA0,2000.0,-28.5,0.34
sSUHFIPTIVA0,2000.0,-28.0,0.39
sSUHFIPTIVA0,2000.0,-27.5,0.32
sSUHFIPTIVA0,2000.0,-27.0,0.42
sSUHFIPTIVA0,2000.0,-26.5,0.51
sSUHFIPTIVA0,2000.0,-26.0,0.66
sSUHFIPTIVA0,2000.0,-25.5,0.9
sSUHFIPTIVA0,2000.0,-25.0,1.24
sSUHFIPTIVA0,2000.0,-24.5,1.71
sSUHFIPTIVA0,2000.0,-24.0,2.47
sSUHFIPTIVA0,2000.0,-23.5,3.2
sSUHFIPTIVA0,2000.0,-23.0,4.29
sSUHFIPTIVA0,2000.0,-22.5,5.49
sSUHFIPTIVA0,2000.0,-22.0,6.76
sSUHFIPTIVA0,2000.0,-21.5,5.42
